"codprod";"descricao_produto";"unidade";"data_saida";"quantidade";"preco_custo";"preco_vendido";"valor_desconto";"nome_cliente";"cidade_cliente";"bairro_cliente";"vendedor"
"02124";PLUG MACHO 2P COLOR 10A TRAMONTINA;UN ;2023-08-04;1.000;1.333;3.300000;0.01;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;GUSTAVO BRASIL
"03193";PLUG FEMEA 2P 10A 6 CORES EM POTE;UN ;2023-08-04;1.000;1.365;3.580000;0.01;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;GUSTAVO BRASIL
"15436";"CHAVE PHILLIPS 3/16X3"" - WORKER";UN ;2023-08-04;1.000;2.658;7.350000;0.02;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;GUSTAVO BRASIL
"16062";ANEL DE VEDACAO C/ GUIA P/ VASO SANITARIO;UN ;2023-09-26;1.000;3.150;10.990000;0.47;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;CARLOS
"15237";AGUA MINERAL CRYSTAL BR S/GAS 1,5L;UN ;2024-08-05;1.000;3.570;4.000000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;LOJA
"15237";AGUA MINERAL CRYSTAL BR S/GAS 1,5L;UN ;2024-08-05;1.000;3.570;4.000000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;LOJA
"05011";CAP SOLD 20MM KRONA;UN ;2024-07-19;1.000;0.634;1.300000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;BRENO
"02555";BUCHA PLASTICA C/ANEL 6MM;UN ;2024-07-18;4.000;0.060;0.120000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;MICAELE
"20550";"PARAF FENDA 3,2X20"" CX C/500";UN ;2024-07-18;4.000;0.028;0.070000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;MICAELE
"13665";BUCHA PLASTICA C/ANEL 6MM CISER;UN ;2024-07-18;1.000;0.020;0.070000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ADRYAN
"13664";BUCHA PLASTICA C/ANEL 10MM ;UN ;2024-07-18;1.000;0.050;0.250000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ADRYAN
"13664";BUCHA PLASTICA C/ANEL 10MM ;UN ;2024-07-18;25.000;0.050;0.250000;0.01;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ADRYAN
"20673";FITA ADESIVA DUPLA FACE 23MMX2M PLUS 120/30;UN ;2024-05-22;3.000;3.614;7.370000;0.11;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ADRYAN
"13669";ABRACADEIRA CALHA PLUVIAL DN88 TIGRE;UN ;2024-07-18;1.000;7.420;18.700000;0.02;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ADRYAN
"13667";ARRUELA LISA 1/4 ZB CISER;UN ;2024-07-18;1.000;0.232;0.610000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ADRYAN
"00048";CIMENTO POTY TODAS AS OBRAS 50KG;PCT;2024-01-22;1.000;33.750;44.990000;1.88;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;LOJA
"12461";TERMINAL ANEL-M4-PRE-ISOL.-1,5-2,5MM 27A, AZ-PCTE 50UND;UN ;2024-01-22;1.000;0.107;0.280000;0.01;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;LOJA
"13665";BUCHA PLASTICA C/ANEL 6MM CISER;UN ;2024-07-17;1.000;0.020;0.070000;0.05;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ADRYAN
"03779";PARAFUSO SEXT.ZINCAD.ROSC. 5/16X70;UN ;2024-06-26;22.000;0.292;1.160000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ANDERSON
"09856";BROCA HSS POINTTEQ 17/64;UN ;2024-06-26;1.000;4.210;8.960000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ANDERSON
"09198";JOGO CHAVE TORX 9 PECAS FOXLUX COD.47.25;UN ;2024-06-27;1.000;16.459;50.050000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ADRYAN
"17959";TINTA SPRAY METALICO PRATA 350 ML/250G;UN ;2024-05-28;1.000;14.869;35.190000;0.19;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;SUEHLLY
"13664";BUCHA PLASTICA C/ANEL 10MM ;UN ;2024-07-16;1.000;0.050;0.250000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;GUSTAVO BRASIL
"13664";BUCHA PLASTICA C/ANEL 10MM ;UN ;2024-07-16;1.000;0.050;0.250000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;GUSTAVO BRASIL
"14222";PREGO C/CABECA 16X21 2X12 POL;PCT;2024-05-22;2.000;10.337;22.040000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ALEXANDRE
"21341"; PARAF PHILIPS 3,8X30MM JOMARCA;UN ;2024-07-11;20.000;0.058;0.150000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;DANIEL ROCHA
"06365";BUCHA PLASTICA 12MM VONDER;UN ;2024-05-23;20.000;0.050;0.170000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ALEXANDRE
"20131";TRENA ACO (L)   5M X 19MM VONDER PLUS;UN ;2023-10-18;1.000;11.320;25.500000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;TESTE 01
"13664";BUCHA PLASTICA C/ANEL 10MM ;UN ;2024-06-11;4.000;0.050;0.250000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ADRYAN
"00994";FITA ISOLANTE 18MMX20M IMPERIAL;UN ;2024-05-23;2.000;4.830;9.990000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ALEXANDRE
"12863";CHUVEIRO PLAST 1/2 8 BRACO 2353 BR HERC C/REG;UN ;2024-05-05;1.000;10.805;28.280000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ADRYAN
"03186";CHAVE DE FENDA PONTA CRUZADA 1/8X6;UN ;2024-05-23;1.000;2.828;7.700000;0.28;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;DAIANE
"01969";SERRA STARRETT 18D;UN ;2024-05-23;2.000;5.240;13.750000;0.98;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;DAIANE
"19135";TINTA IPEPLUS CHAMPAGNE 3,6L;UN ;2024-07-11;1.000;33.040;58.290000;0.29;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;GUSTAVO BRASIL
"05077";"ARO ALUMINIO 8"" 3.25/3.50 C/ROLAM VONDER";UN ;2024-05-20;1.000;71.910;129.990000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ALEXANDRE
"03752";PENEIRA P/AREIA ARO DE PLASTICO 55CM;UN ;2024-05-27;1.000;9.557;23.990000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;YANKC
"00048";CIMENTO POTY TODAS AS OBRAS 50KG;PCT;2024-07-10;2.000;38.590;44.990000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;BRENO
"20280";ADAPTADOR 2P+T UNIVERSAL 10A 250V~ BR;UN ;2024-05-12;1.000;3.855;7.750000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;DANIEL ROCHA
"21047";**LAMINA DE SERRA CIRCULAR P/ MADEIRA 24 DENT 110 MM ;UN ;2024-05-13;1.000;4.000;10.000000;0.50;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;GUSTAVO BRASIL
"11470";SPOT EMBUTIR REDONDO ALLTOP LED MR11 3W 6500K 38;UN ;2024-05-13;4.000;5.652;18.700000;2.42;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;DANIEL ROCHA
"17942";PAINEL LED FRAMELESS EMBUTIR 36W REDONDO 6500K-7897079008531;UN ;2024-05-13;1.000;39.060;90.550000;2.93;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;DANIEL ROCHA
"17625";BOCAL/SOQUETE DECORLUX ADAP. E27 P/ PLUG, 4A/0-250V;UN ;2024-06-03;1.000;5.100;12.060000;0.06;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;SUEHLLY
"20636";BROCA ACO RAPIDO 3/32  100/10;UN ;2024-06-05;2.000;0.428;1.250000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;BRENO
"13507";CADEIRA EIFFEL MOR COM BRACOS PRETA;UN ;2024-06-15;1.000;156.270;201.990000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ANDERSON
"19631";CAFETEIRA ELETRICA AGRATTO VETRO CAFFE 15X CEV15-02 220V;UN ;2024-06-15;1.000;70.174;126.990000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ANDERSON
"00658";MASSA CORRIDA HIDRACOR 25KG;UN ;2024-06-16;1.000;28.593;59.990000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ALANA CRISTINA
"15906";REPARO REG PRES/TOR P BELO 20/25MM BR;UN ;2024-06-18;1.000;4.640;10.820000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ADRYAN
"20968";"NIVEL MAGNETICO 3 BOLHAS 16""-40CM";UN ;2024-05-11;1.000;17.620;36.990000;1.85;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;GUSTAVO BRASIL
"00048";CIMENTO POTY TODAS AS OBRAS 50KG;PCT;2023-11-29;2.000;32.430;41.990000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;TESTE 01
"00142";MARTELO DE UNHA 25MM;UN ;2024-05-11;1.000;16.393;43.990000;2.20;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;GUSTAVO BRASIL
"20989";**ISOLADOR MONOFASICO S/PREGO RIBEIRO ;UN ;2024-06-23;4.000;0.150;0.350000;0.06;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;DAIANE
"03779";PARAFUSO SEXT.ZINCAD.ROSC. 5/16X70;UN ;2024-05-23;20.000;0.292;1.100000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ALEXANDRE
"01237";PLUG ROSCAVEL 1/2 KRONA;UN ;2024-06-10;3.000;0.470;0.900000;0.01;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ADEMILSON
"00236";FITA ISOLANTE 18MMX10M IMPERIAL;UN ;2024-06-10;1.000;2.730;5.490000;0.01;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ADEMILSON
"01263";FITA VEDA ROSCA 12MMX25M;UN ;2024-06-10;1.000;2.030;5.750000;0.01;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ADEMILSON
"10507";PREGO 22X54-5X5 POL;CX ;2024-05-22;1.000;9.400;23.090000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ALEXANDRE
"15202";DESEMP. PLASTICA 14 X 27 CM ESTRIADA;UN ;2024-05-19;1.000;6.390;12.890000;0.04;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ALANA CRISTINA
"08737";LAMINA DE SERRA CIRCULAR P/MADEIRA 24D 110MM KAEF;UN ;2024-06-05;1.000;6.644;8.990000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;BRENO
"17990";CABO FLEXMEGA AZ BOB 2,5MM BWF 70C 450/750V CO-EXTRUSADO;MT ;2024-08-08;1.500;1.521;2.590000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;DANIEL ROCHA
"15546";LUVA SOLD.25X3/4 LR KRONA;UN ;2024-05-19;1.000;1.285;2.350000;0.03;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;DANIEL ROCHA
"13058";TAPETE CLEAN KASA COZINHA BOLACHAS 50CM X 70CM;UN ;2024-04-02;1.000;18.805;31.490000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;DAIANE
"20782";**BULE VIENA 0,75 L MARBLE BRANCO CARRARA ;UN ;2024-04-30;1.000;12.860;26.990000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;WANDERSON
"11483";LUVA DE CORRER SOLD.20MM KRONA;UN ;2024-04-16;1.000;4.592;8.500000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;YASMIN
"11483";LUVA DE CORRER SOLD.20MM KRONA;UN ;2024-04-16;1.000;4.592;8.500000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;YASMIN
"17989";CABO FLEXMEGA BOB VM 2,5MM BWF 70C 450/750V CO-EXTRUSADO;MT ;2024-08-08;1.500;1.561;2.590000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;DANIEL ROCHA
"20785";**BULE VIENA 0,75L METALIZADO BRONZE ;UN ;2024-05-03;1.000;13.890;31.490000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;GABRIELLE
"15237";AGUA MINERAL CRYSTAL BR S/GAS 1,5L;UN ;2024-03-13;1.000;3.170;4.000000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;LOJA
"04557";BUCHA RED.50X32MM LONGA TIGRE;UN ;2023-12-13;1.000;1.953;6.960000;0.09;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;DAIANE
"04797";MACHADO SOLDADO 3.5 C/CABO 90CM;UN ;2024-05-14;1.000;56.450;120.990000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;DANIEL ROCHA
"08568";TINTA SPRAY TEKBOND 350ML DOURADO METALICO;UN ;2024-05-28;1.000;16.807;30.500000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ADRYAN
"20782";**BULE VIENA 0,75 L MARBLE BRANCO CARRARA ;UN ;2024-04-30;1.000;12.860;26.990000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;WANDERSON
"20782";**BULE VIENA 0,75 L MARBLE BRANCO CARRARA ;UN ;2024-05-01;1.000;12.860;26.990000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;WANDERSON
"20698";**LUVA MISTA TAM 9 G MODELO PETROLEIRA - WORKER;UN ;2024-05-21;1.000;6.750;8.820000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;YANKC
"10664";ABRACADEIRA MICRO 1/2 A 3/4 SUPRENS;UN ;2024-03-06;1.000;1.016;2.750000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;SUEHLLY
"01905";CAIXA DAGUA 500 LT POLIET.TIGRE;CX ;2024-03-18;1.000;189.000;390.490000;2.43;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;LOJA
"00112";SUPERCAL HIDRACOR 5KG;UN ;2024-03-16;2.000;5.555;10.750000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;GUSTAVO BRASIL
"18086";ESCOVA RETANGULAR 1199-02;UN ;2024-03-16;1.000;3.987;9.890000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;GUSTAVO BRASIL
"18943";ESMALTE HIDRA+ 750ML CINZA MEDIO;UN ;2024-03-23;1.000;17.022;26.900000;0.90;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;DAIANE
"18706";ESMALTE HIDRA+ 750ML VERMELHO;UN ;2024-05-20;1.000;17.021;26.900000;0.90;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;GUSTAVO BRASIL
"18995";BROCA DE ACO RAPIDO 3,0 MM - PACOTE C/ 10 UN;UN ;2024-06-05;2.000;0.640;1.650000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;BRENO
"13485";LUVA BANHO NITRILICO POLIESTER TAM 9 G - WORKER;UN ;2024-06-05;1.000;3.376;7.250000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;BRENO
"17778";**PICOLE AO LEITE;UN ;2024-08-19;1.000;1.600;2.490000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;LOJA
"00198";COLA P/ CANO PVC 75G  POLYTUBES;UN ;2024-03-18;1.000;3.050;6.250000;0.01;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;YANKC
"13668";ARRUELA LISA 3/16 ZB CISER;UN ;2024-04-22;50.000;0.075;0.300000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;DANIEL
"05216";ADAPTADOR SOLD.CURTO 50X1.1/2 KRONA;UN ;2023-12-13;1.000;2.079;4.790000;0.07;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;DAIANE
"08730";MINI ARCO DE SERRA CORTAG;UN ;2024-03-18;1.000;7.378;19.790000;0.03;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;YANKC
"05356";CARRO DE MAO VERMELHO FISHER;UN ;2024-04-02;1.000;138.980;284.540000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;DAIANE
"06178";REJUNTE FLEX VOTOMASSA BRANCO 1KG;UN ;2024-03-27;1.000;4.260;7.150000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;GUSTAVO BRASIL
"05219";LUVA SOLD.25MM KRONA;UN ;2024-05-27;2.000;0.372;0.840000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;SUEHLLY
"01694";LUVA SOLD.20MM KRONA;UN ;2024-05-27;2.000;0.257;0.650000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;SUEHLLY
"21150";**PICOLE NINHO TRUNFADO;UN ;2024-05-31;1.000;1.890;5.000000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ADRYAN
"20931";**TINTA SPRAY METALICO CROMADO 350 ML/250G;UN ;2024-05-28;1.000;18.990;38.990000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ALEXANDRE
"07233";PARAFUSO SEXT.ROSCA SOB.3/16X45 VONDER;UN ;2024-06-15;3.000;0.184;0.610000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;BRENO
"20047";PA SX AC RS 3/16X30 RP ZB;UN ;2024-06-15;6.000;0.141;0.550000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;BRENO
"01957";ENGATE PLAT.1/2 40CM KRONA;UN ;2024-03-14;1.000;2.159;4.600000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;DANIEL ROCHA
"15229";REFRI - FANTA UVA LT  350ML;UN ;2024-08-16;1.000;2.970;4.130000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;LOJA
"01618";JOELHO SOLD.20MM 90G KRONA;UN ;2024-03-28;2.000;0.260;0.650000;0.01;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;DAIANE
"16366";ELETRODO SOLDA DE ACO INOXIDAVEIS WELD 308L 2,50X300MM;UN ;2024-05-29;9.000;0.967;2.310000;0.79;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;SUEHLLY
"16276";KIT VARAO 28 DUPLO 3 MT BRANCO;UN ;2024-06-24;1.000;51.670;132.000000;7.33;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ANDERSON
"21151";"**ABRACADEIRA GALV TIPO ""D""C/CUNHA 2"" INCA";UN ;2024-06-03;1.000;0.800;1.850000;0.52;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;LOJA
"15156";ESQUADRO EXT AQUAPLUV BEGE DN125 CB;UN ;2024-07-03;1.000;22.913;55.450000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;YANKC
"02901";FITA VEDA ROSCA 12MMX10M;UN ;2024-05-19;1.000;0.982;2.750000;0.04;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;DANIEL ROCHA
"07855";ADESIVO DE CONTATO CASCOLA 730G;UN ;2024-06-28;1.000;36.600;69.990000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ADRYAN
"04416";BUCHA PLASTICA C/ANEL 8MM;UN ;2024-06-15;9.000;0.010;0.060000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;BRENO
"03544";TORNEIRA JARDIM PT 1/2 3/4 C/BICO HERC 101;UN ;2024-03-28;1.000;1.342;3.990000;0.02;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;DAIANE
"08703";GRAXA PARA ROLAMENTOS 500G BLUE;UN ;2024-05-21;1.000;17.970;46.190000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;BRENO
"03790";ARCO DE SERRA FIXO 12 TRAMONTINA;UN ;2024-05-23;1.000;16.314;42.890000;1.53;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;DAIANE
"15438";"CHAVE PHILLIPS 3/16X5"" - WORKER";UN ;2024-05-23;1.000;2.920;7.990000;0.29;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;DAIANE
"05011";CAP SOLD 20MM KRONA;UN ;2024-03-28;2.000;0.634;1.300000;0.01;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;DAIANE
"09015";ASSENTO SANT. ECO UNIVERSAL OCRE;PC ;2024-06-24;1.000;15.033;35.190000;1.96;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ANDERSON
"12064";LAMP HIGH LED TKL 225 / 40W 6500K E27;UN ;2024-06-24;2.000;8.871;23.990000;2.67;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ANDERSON
"04221";TORN PLAST. BICA P/PAREDE HERC BR 2750;UN ;2024-06-24;2.000;9.380;28.050000;3.12;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ANDERSON
"05077";"ARO ALUMINIO 8"" 3.25/3.50 C/ROLAM VONDER";UN ;2024-05-20;1.000;71.910;129.990000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ALEXANDRE
"14774";SIFAO LONGO UNIV 1,5M DN 38/40/48/50MM HERC COD:2607;UN ;2024-06-03;1.000;5.710;10.990000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;LOJA
"01948";VALVULA PIA AMERICANA INOX GHEPLUS;UN ;2024-06-03;1.000;11.170;20.750000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;LOJA
